Q4,Q1,Q5,Q6,Q8
Indichi il suo anno di nascita.,Indichi il suo sesso.,In quale delle seguenti condizioni lavorative si trova?,In quale Regione risiede attualmente?,Qual e il suo titolo di studio?
"{""ImportId"":""QID4_TEXT""},""{""""ImportId"""":""""QID1""""}"",""{""""ImportId"""":""""QID5""""}"",""{""""ImportId"""":""""QID6""""}"",""{""""ImportId"""":""""QID8""""}"""
2002,Donna,Studente,Lombardia,Titolo universitario o superiore
2001,Donna,Studente,Lazio,Preferisco non rispondere
2000,Uomo,Studente,Lazio,Preferisco non rispondere
2001,Uomo,Studente lavoratore,Lazio,Preferisco non rispondere
,,,,
,,,,
,,,,
xxxx,Donna,Altro,Non risiedo in Italia,Nessun titolo
2001,Donna,Studente,Puglia,Diploma di scuola superiore
2002,Donna,Studente,Lombardia,Diploma di scuola superiore
2001,Donna,Studente,Lombardia,Titolo universitario o superiore
2001,Uomo,Studente lavoratore,Lazio,Titolo universitario o superiore
2001,Uomo,Studente,Lazio,Titolo universitario o superiore
2001,Donna,Studente lavoratore,Lazio,Titolo universitario o superiore
2001,Donna,Studente,Emilia Romagna,Titolo universitario o superiore
2001,Donna,Studente,Piemonte,Titolo universitario o superiore
2003,Uomo,Studente,Emilia Romagna,Diploma di scuola superiore
1976,Donna,Lavoratore/Lavoratrice,Lombardia,Titolo universitario o superiore
2001,Donna,Studente,Lombardia,Diploma di scuola superiore
1999,Uomo,Studente,Lazio,Titolo universitario o superiore
1998,Donna,Studente,Lazio,Diploma di scuola superiore
2003,Uomo,Studente lavoratore,Emilia Romagna,Diploma di scuola superiore
2001,Donna,Studente,Abruzzo,Titolo universitario o superiore
2001,Donna,Studente lavoratore,Lazio,Diploma di scuola superiore
2001,Donna,Studente,Veneto,Titolo universitario o superiore
2001,Uomo,Studente,Trentino Alto Adige/Südtirol,Diploma di scuola superiore
2000,Uomo,Studente,Lombardia,Titolo universitario o superiore
2002,Donna,Studente,Lombardia,Diploma di scuola superiore
06/04/2001,Uomo,Lavoratore/Lavoratrice,Lombardia,Diploma di scuola superiore
1968,Uomo,Lavoratore/Lavoratrice,Lazio,Titolo universitario o superiore
23/03/2001,Uomo,Studente,Lazio,Diploma di scuola superiore
2001,Donna,Studente lavoratore,Trentino Alto Adige/Südtirol,Diploma di scuola superiore
2003,Donna,Studente,Emilia Romagna,Diploma di scuola superiore
2001,Donna,Studente,Lombardia,Diploma di scuola superiore
2001,Uomo,Lavoratore/Lavoratrice,Lazio,Diploma di scuola superiore
2001,Uomo,Studente,Lombardia,Diploma di scuola superiore
1970,Donna,Lavoratore/Lavoratrice,Lazio,Titolo universitario o superiore
2001,Uomo,Studente,Lombardia,Diploma di scuola superiore
2000,Uomo,Lavoratore/Lavoratrice,Lombardia,Diploma di scuola superiore
1976,Donna,Lavoratore/Lavoratrice,Lazio,Titolo universitario o superiore
2001,Donna,Studente,Lazio,Diploma di scuola superiore
2003,Uomo,Studente lavoratore,Emilia Romagna,Diploma di scuola superiore
2003,Uomo,Studente,Emilia Romagna,Diploma di scuola superiore
2001,Uomo,Studente,Trentino Alto Adige/Südtirol,Diploma di scuola superiore
1999,Donna,Studente,Piemonte,Diploma di scuola superiore
2001,Donna,Studente,Lazio,Titolo universitario o superiore
2006,Uomo,Studente,Lazio,Diploma di scuola elementare o scuola media
2004,Donna,Studente,Lazio,Diploma di scuola superiore
2001,Donna,Studente,Sicilia,Diploma di scuola superiore
2004,Uomo,Studente,Liguria,Diploma di scuola superiore
2001,Uomo,Studente,Sicilia,Titolo universitario o superiore
2001,Uomo,Studente,Lombardia,Diploma di scuola superiore
2006,Altro,Studente,Lombardia,Diploma di scuola superiore
2001,Donna,Studente,Lazio,Titolo universitario o superiore
2000,Uomo,Studente,Lazio,Titolo universitario o superiore
2001,Uomo,Studente,Lombardia,Diploma di scuola superiore
2001,Donna,Studente,Lazio,Titolo universitario o superiore
2004,Donna,Studente,Emilia Romagna,Diploma di scuola superiore
2001,Altro,Studente lavoratore,Lombardia,Diploma di scuola superiore
2001,Donna,Studente,Lombardia,Diploma di scuola superiore
1998,Uomo,Studente,Toscana,Titolo universitario o superiore
2000,Donna,Studente,Lazio,Titolo universitario o superiore
2002,Uomo,Studente lavoratore,Toscana,Diploma di scuola superiore
2001,Donna,Studente,Lazio,Titolo universitario o superiore
2001,Uomo,Studente,Emilia Romagna,Diploma di scuola superiore
2001,Donna,Studente,Lombardia,Diploma di scuola superiore
2002,Donna,Studente,Lombardia,Diploma di scuola superiore
2001,Donna,Studente,Lazio,Titolo universitario o superiore
2000,Uomo,Studente,Lazio,Diploma di scuola superiore
2003,Donna,Preferisco non rispondere,Emilia Romagna,Diploma di scuola superiore
2001,Donna,Studente,Lombardia,Diploma di scuola superiore
2003,Donna,Studente,Emilia Romagna,Diploma di scuola superiore
2003,Uomo,Studente,Abruzzo,Diploma di scuola superiore
2001,Donna,Lavoratore/Lavoratrice,Non risiedo in Italia,Titolo universitario o superiore
2001,Donna,Studente,Lombardia,Diploma di scuola superiore
2000,Uomo,Studente,Trentino Alto Adige/Südtirol,Diploma di scuola superiore
2001,Uomo,Studente,Lazio,Titolo universitario o superiore
2001,Uomo,Studente,Lombardia,Diploma di scuola superiore
1999,Donna,Studente,Trentino Alto Adige/Südtirol,Diploma di scuola superiore
2001,Donna,Studente,Lombardia,Diploma di scuola superiore
2003,Donna,Studente,Emilia Romagna,Diploma di scuola superiore
2001,Donna,Studente,Lombardia,Diploma di scuola superiore
2000,Donna,Studente,Lazio,Titolo universitario o superiore
1965,Donna,Altro,Lazio,Titolo universitario o superiore
1977,Uomo,Lavoratore/Lavoratrice,Lombardia,Titolo universitario o superiore
2007,Uomo,Studente,Lazio,Diploma di scuola elementare o scuola media
2001,Uomo,Studente,Piemonte,Diploma di scuola superiore
2001,Donna,Studente,Lazio,Diploma di scuola superiore
2001,Uomo,Studente,Molise,Titolo universitario o superiore
2001,Donna,Studente,Lazio,Titolo universitario o superiore
1963,Donna,Lavoratore/Lavoratrice,Lazio,Titolo universitario o superiore
2002,Donna,Studente,Lazio,Titolo universitario o superiore
2003,Uomo,Studente,Liguria,Diploma di scuola superiore
2004,Donna,Studente lavoratore,Lazio,Diploma di scuola superiore
1964,Donna,Altro,Toscana,Diploma di scuola superiore
2000,Donna,Studente lavoratore,Lazio,Titolo universitario o superiore
2001,Donna,Studente,Lazio,Titolo universitario o superiore
1996,Donna,Studente lavoratore,Lazio,Diploma di scuola superiore
2003,Donna,Studente,Emilia Romagna,Diploma di scuola superiore
1969,Donna,Preferisco non rispondere,Lazio,Diploma di scuola superiore
2002,Donna,Studente lavoratore,Emilia Romagna,Diploma di scuola superiore
1963,Donna,Altro,Lazio,Titolo universitario o superiore
2007,Uomo,Studente,Lazio,Diploma di scuola elementare o scuola media
2001,Uomo,Lavoratore/Lavoratrice,Lazio,Diploma di scuola superiore
2002,Donna,Studente,Lombardia,Diploma di scuola superiore
2002,Donna,Studente,Lombardia,Diploma di scuola superiore
1999,Donna,Studente,Toscana,Titolo universitario o superiore
2001,Donna,Disoccupato/a (in cerca di impiego),Abruzzo,Diploma di scuola superiore
2001,Donna,Studente,Campania,Titolo universitario o superiore
2004,Donna,Studente lavoratore,Campania,Diploma di scuola superiore
1998,Donna,Lavoratore/Lavoratrice,Piemonte,Titolo universitario o superiore
2002,Donna,Studente,Lombardia,Diploma di scuola superiore
2001,Uomo,Studente,Lazio,Diploma di scuola superiore
2000,Uomo,Studente,Lazio,Titolo universitario o superiore
2004,Donna,Studente lavoratore,Campania,Diploma di scuola superiore
1961,Donna,Lavoratore/Lavoratrice,Lazio,Titolo universitario o superiore
2001,Donna,Studente,Lazio,Diploma di scuola superiore
2001,Donna,Studente,Lazio,Titolo universitario o superiore
2000,Uomo,Studente lavoratore,Lazio,Diploma di scuola superiore
2000,Donna,Studente,Lazio,Titolo universitario o superiore
2004,Donna,Studente lavoratore,Toscana,Diploma di scuola superiore
1997,Uomo,Lavoratore/Lavoratrice,Lazio,Titolo universitario o superiore
2002,Donna,Studente,Lombardia,Diploma di scuola superiore
1996,Donna,Lavoratore/Lavoratrice,Lazio,Titolo universitario o superiore
2000,Donna,Disoccupato/a (in cerca di impiego),Campania,Diploma di scuola superiore
2003,Donna,Lavoratore/Lavoratrice,Emilia Romagna,Diploma di scuola superiore
2001,Uomo,Studente,Friuli Venezia Giulia,Titolo universitario o superiore
2003,Uomo,Studente,Lombardia,Diploma di scuola superiore
1995,Uomo,Lavoratore/Lavoratrice,Campania,Diploma di scuola superiore
2004,Donna,Studente,Campania,Diploma di scuola superiore
2004,Donna,Studente,Lazio,Diploma di scuola superiore
2001,Uomo,Studente,Non risiedo in Italia,Diploma di scuola superiore
1997,Uomo,Disoccupato/a (in cerca di impiego),Campania,Titolo universitario o superiore
2003,Donna,Studente,Lombardia,Diploma di scuola superiore
2000,Donna,Lavoratore/Lavoratrice,Emilia Romagna,Diploma di scuola superiore
2001,Donna,Studente,Lazio,Titolo universitario o superiore
30/04/2002,Uomo,Preferisco non rispondere,Campania,Diploma di scuola superiore
1997,Uomo,Disoccupato/a (in cerca di impiego),Campania,Titolo universitario o superiore
2001,Donna,Studente lavoratore,Emilia Romagna,Diploma di scuola superiore
2001,Donna,Studente,Toscana,Diploma di scuola superiore
2002,Donna,Studente,Lombardia,Diploma di scuola superiore
2005,Donna,Studente,Lazio,Diploma di scuola elementare o scuola media
2001,Donna,Studente,Toscana,Diploma di scuola superiore
1997,Donna,Studente lavoratore,Emilia Romagna,Titolo universitario o superiore
2004,Donna,Studente,Lazio,Diploma di scuola superiore
1998,Uomo,Lavoratore/Lavoratrice,Campania,Diploma di scuola superiore
2002,Donna,Lavoratore/Lavoratrice,Emilia Romagna,Diploma di scuola superiore
2001,Donna,Studente,Campania,Titolo universitario o superiore
2001,Uomo,Studente lavoratore,Lazio,Titolo universitario o superiore
1996,Donna,Lavoratore/Lavoratrice,Lazio,Titolo universitario o superiore
1997,Uomo,Disoccupato/a (in cerca di impiego),Campania,Titolo universitario o superiore
2001,Donna,Studente,Lazio,Titolo universitario o superiore
2002,Donna,Studente lavoratore,Sicilia,Diploma di scuola superiore
02/01/2002,Donna,Studente lavoratore,Campania,Diploma di scuola superiore
2001,Donna,Studente,Piemonte,Titolo universitario o superiore
1996,Uomo,Lavoratore/Lavoratrice,Lazio,Titolo universitario o superiore
1965,Donna,Altro,Lombardia,Diploma di scuola superiore
2002,Donna,Studente,Campania,Diploma di scuola superiore
2001,Donna,Studente,Toscana,Titolo universitario o superiore
2000,Donna,Studente,Toscana,Diploma di scuola superiore
2004,Uomo,Studente,Campania,Diploma di scuola superiore
2000,Uomo,Studente lavoratore,Lazio,Titolo universitario o superiore
2002,Donna,Studente,Lazio,Titolo universitario o superiore
2001,Uomo,Studente,Lazio,Titolo universitario o superiore
2001,Uomo,Studente,Lombardia,Titolo universitario o superiore
2001,Donna,Studente,Emilia Romagna,Diploma di scuola superiore
2001,Donna,Studente,Lombardia,Titolo universitario o superiore
2001,Donna,Studente,Abruzzo,Titolo universitario o superiore
2001,Uomo,Studente,Lombardia,Diploma di scuola superiore
1999,Donna,Studente,Lombardia,Titolo universitario o superiore
2001,Uomo,Studente,Lombardia,Titolo universitario o superiore
2003,Uomo,Studente,Puglia,Diploma di scuola superiore
2003,Uomo,Studente lavoratore,Puglia,Diploma di scuola superiore
2001,Uomo,Disoccupato/a (in cerca di impiego),Lombardia,Diploma di scuola superiore
2003,Uomo,Studente,Campania,Diploma di scuola superiore
2004,Uomo,Studente,Lazio,Diploma di scuola superiore
2003,Uomo,Studente lavoratore,Puglia,Diploma di scuola superiore
2001,Donna,Studente,Lazio,Titolo universitario o superiore
2001,Donna,Studente,Lombardia,Titolo universitario o superiore
2003,Donna,Altro,Piemonte,Diploma di scuola superiore
1978,Donna,Lavoratore/Lavoratrice,Lazio,Titolo universitario o superiore
2001,Uomo,Studente,Lazio,Titolo universitario o superiore
2001,Preferisco non rispondere,Studente,Lombardia,Diploma di scuola superiore
2001,Uomo,Lavoratore/Lavoratrice,Piemonte,Diploma di scuola superiore
2005,Donna,Studente,Piemonte,Diploma di scuola elementare o scuola media
2001,Donna,Studente lavoratore,Piemonte,Diploma di scuola superiore
2001,Donna,Studente lavoratore,Lombardia,Titolo universitario o superiore
2001,Donna,Studente,Piemonte,Diploma di scuola superiore
2000,Uomo,Lavoratore/Lavoratrice,Piemonte,Diploma di scuola superiore
2000,Donna,Studente,Lazio,Titolo universitario o superiore
2006,Donna,Studente,Lombardia,Diploma di scuola elementare o scuola media
2002,Uomo,Lavoratore/Lavoratrice,Lazio,Diploma di scuola elementare o scuola media
2001,Donna,Studente lavoratore,Piemonte,Diploma di scuola superiore
2001,Donna,Studente lavoratore,Piemonte,Diploma di scuola superiore
2001,Donna,Studente,Trentino Alto Adige/Südtirol,Titolo universitario o superiore
2000,Donna,Studente,Piemonte,Diploma di scuola superiore
2005,Donna,Studente,Piemonte,Diploma di scuola elementare o scuola media
2001,Donna,Studente lavoratore,Piemonte,Titolo universitario o superiore
2002,Donna,Studente lavoratore,Lazio,Titolo universitario o superiore
2002,Donna,Lavoratore/Lavoratrice,Piemonte,Diploma di scuola superiore
2001,Donna,Studente lavoratore,Piemonte,Titolo universitario o superiore
2002,Donna,Studente,Lazio,Titolo universitario o superiore
2002,Donna,Studente lavoratore,Campania,Diploma di scuola superiore
2002,Uomo,Lavoratore/Lavoratrice,Lombardia,Diploma di scuola superiore
2001,Donna,Studente,Lombardia,Titolo universitario o superiore
2003,Uomo,Studente,Puglia,Diploma di scuola superiore
2002,Donna,Studente lavoratore,Piemonte,Diploma di scuola superiore
1999,Donna,Lavoratore/Lavoratrice,Piemonte,Diploma di scuola superiore
1999,Donna,Lavoratore/Lavoratrice,Molise,Titolo universitario o superiore
2001,Donna,Studente lavoratore,Piemonte,Titolo universitario o superiore
2002,Donna,Studente,Piemonte,Titolo universitario o superiore
1998,Uomo,Studente,Non risiedo in Italia,Diploma di scuola superiore
1997,Uomo,Lavoratore/Lavoratrice,Piemonte,Diploma di scuola superiore
1999,Donna,Studente lavoratore,Lombardia,Diploma di scuola superiore
2002,Donna,Studente,Campania,Diploma di scuola superiore
1966,Donna,Lavoratore/Lavoratrice,Lombardia,Titolo universitario o superiore
21/11/97,Uomo,Lavoratore/Lavoratrice,Campania,Diploma di scuola superiore
2001,Donna,Lavoratore/Lavoratrice,Piemonte,Diploma di scuola superiore
2000,Uomo,Studente,Piemonte,Diploma di scuola superiore
2001,Donna,Studente,Campania,Diploma di scuola superiore
2001,Donna,Studente,Campania,Diploma di scuola superiore
2002,Donna,Studente lavoratore,Lombardia,Titolo universitario o superiore
2001 ,Donna,Studente,Campania,Diploma di scuola superiore
2001,Donna,Studente,Lazio,Titolo universitario o superiore
1951,Donna,Altro,Lazio,Diploma di scuola elementare o scuola media
2000,Uomo,Studente,Campania,Diploma di scuola superiore
2001,Donna,Lavoratore/Lavoratrice,Piemonte,Titolo universitario o superiore
2003,Donna,Studente,Lombardia,Diploma di scuola superiore
2001,Donna,Studente,Piemonte,Diploma di scuola superiore
2002,Donna,Studente lavoratore,Campania,Diploma di scuola superiore
2002,Donna,Lavoratore/Lavoratrice,Piemonte,Diploma di scuola superiore
20.05.2004,Donna,Studente lavoratore,Non risiedo in Italia,Diploma di scuola elementare o scuola media
1970,Donna,Lavoratore/Lavoratrice,Lombardia,Diploma di scuola superiore
1965,Donna,Lavoratore/Lavoratrice,Campania,Titolo universitario o superiore
2000,Uomo,Lavoratore/Lavoratrice,Piemonte,Diploma di scuola superiore
2003,Uomo,Studente lavoratore,Toscana,Diploma di scuola superiore
1998,Altro,Studente lavoratore,Trentino Alto Adige/Südtirol,Diploma di scuola superiore
2001,Donna,Studente,Non risiedo in Italia,Titolo universitario o superiore
2002,Donna,Studente lavoratore,Campania,Diploma di scuola superiore
2003,Uomo,Studente,Piemonte,Diploma di scuola superiore
2001,Donna,Studente lavoratore,Piemonte,Titolo universitario o superiore
1999,Donna,Studente lavoratore,Lombardia,Diploma di scuola superiore
2001,Uomo,Studente,Lazio,Titolo universitario o superiore
1995,Donna,Lavoratore/Lavoratrice,Lombardia,Titolo universitario o superiore
2000,Uomo,Studente,Non risiedo in Italia,Diploma di scuola superiore
2000,Uomo,Lavoratore/Lavoratrice,Lombardia,Diploma di scuola elementare o scuola media
2004,Donna,Studente,Lazio,Diploma di scuola superiore
1966,Donna,Lavoratore/Lavoratrice,Lazio,Diploma di scuola superiore
2003,Donna,Studente,Campania,Diploma di scuola superiore
2001,Donna,Lavoratore/Lavoratrice,Non risiedo in Italia,Titolo universitario o superiore
1995,Uomo,Studente lavoratore,Campania,Titolo universitario o superiore
1997,Uomo,Studente lavoratore,Campania,Titolo universitario o superiore
2001,Uomo,Studente,Campania,Titolo universitario o superiore
2001,Donna,Studente lavoratore,Piemonte,Diploma di scuola superiore
2000,Donna,Studente,Trentino Alto Adige/Südtirol,Titolo universitario o superiore
2001,Donna,Studente,Lazio,Diploma di scuola superiore
1991,Donna,Disoccupato/a (in cerca di impiego),Campania,Titolo universitario o superiore
1992,Uomo,Studente,Piemonte,Diploma di scuola superiore
2001,Donna,Studente,Lazio,Titolo universitario o superiore
2002,Donna,Preferisco non rispondere,Liguria,Titolo universitario o superiore
2001,Donna,Studente lavoratore,Piemonte,Diploma di scuola superiore
2000,Uomo,Studente,Emilia Romagna,Titolo universitario o superiore
2001,Donna,Studente lavoratore,Lombardia,Diploma di scuola superiore
2003,Donna,Studente lavoratore,Lombardia,Diploma di scuola superiore
1983,Donna,Disoccupato/a (in cerca di impiego),Lombardia,Diploma di scuola superiore
1997,Uomo,Lavoratore/Lavoratrice,Lazio,Titolo universitario o superiore
1999,Donna,Lavoratore/Lavoratrice,Veneto,Diploma di scuola superiore
2003,Donna,Studente,Non risiedo in Italia,Diploma di scuola superiore
2001,Donna,Studente lavoratore,Piemonte,Diploma di scuola superiore
1970,Donna,Lavoratore/Lavoratrice,Piemonte,Titolo universitario o superiore
2004,Donna,Lavoratore/Lavoratrice,Piemonte,Diploma di scuola superiore
1998,Donna,Studente lavoratore,Lazio,Diploma di scuola superiore
2002,Donna,Studente,Emilia Romagna,Diploma di scuola superiore
2003,Uomo,Studente,Piemonte,Diploma di scuola superiore
2001,Altro,Studente lavoratore,Piemonte,Diploma di scuola superiore
2001,Donna,Studente,Lombardia,Diploma di scuola superiore
2001,Donna,Studente,Lombardia,Diploma di scuola superiore
2001,Donna,Studente,Lombardia,Diploma di scuola superiore
2001,Donna,Studente,Lombardia,Diploma di scuola superiore
1989,Uomo,Studente,Sardegna,Titolo universitario o superiore
1977,Donna,Lavoratore/Lavoratrice,Piemonte,Diploma di scuola superiore
2001,Uomo,Disoccupato/a (in cerca di impiego),Lazio,Diploma di scuola superiore
2001,Donna,Studente lavoratore,Piemonte,Diploma di scuola superiore
1999,Donna,Studente lavoratore,Emilia Romagna,Titolo universitario o superiore
2001,Uomo,Studente,Lombardia,Diploma di scuola superiore
2000,Donna,Studente lavoratore,Friuli Venezia Giulia,Titolo universitario o superiore
04/03/1965,Donna,Altro,Piemonte,Diploma di scuola superiore
1998,Uomo,Lavoratore/Lavoratrice,Piemonte,Titolo universitario o superiore
2003,Donna,Studente,Lombardia,Diploma di scuola superiore
1999,Uomo,Lavoratore/Lavoratrice,Lazio,Diploma di scuola superiore
1975,Uomo,Lavoratore/Lavoratrice,Lazio,Titolo universitario o superiore
2002,Donna,Studente,Piemonte,Diploma di scuola superiore
1965,Donna,Lavoratore/Lavoratrice,Emilia Romagna,Titolo universitario o superiore
2001,Uomo,Studente,Piemonte,Diploma di scuola superiore
1958,Donna,Lavoratore/Lavoratrice,Emilia Romagna,Titolo universitario o superiore
1970,Donna,Lavoratore/Lavoratrice,Lombardia,Diploma di scuola superiore
2001,Donna,Studente lavoratore,Piemonte,Diploma di scuola superiore
2001,Uomo,Studente,Lombardia,Diploma di scuola superiore
1975,Donna,Lavoratore/Lavoratrice,Emilia Romagna,Titolo universitario o superiore
2001,Uomo,Studente,Trentino Alto Adige/Südtirol,Titolo universitario o superiore
22/12/2003,Donna,Studente,Emilia Romagna,Diploma di scuola superiore
1999,Donna,Studente lavoratore,Lombardia,Diploma di scuola superiore
1967,Uomo,Lavoratore/Lavoratrice,Emilia Romagna,Diploma di scuola superiore
1969,Donna,Disoccupato/a (in cerca di impiego),Lazio,Diploma di scuola superiore
2001,Donna,Studente,Lombardia,Diploma di scuola superiore
1969,Donna,Lavoratore/Lavoratrice,Lombardia,Diploma di scuola superiore
1998,Donna,Lavoratore/Lavoratrice,Lazio,Titolo universitario o superiore
1961,Donna,Altro,Lazio,Titolo universitario o superiore
20 - 02-1965,Donna,Lavoratore/Lavoratrice,Lazio,Titolo universitario o superiore
1965,Uomo,Lavoratore/Lavoratrice,Lazio,Titolo universitario o superiore
17/04/2001,Uomo,Altro,Emilia Romagna,Diploma di scuola superiore
2000,Uomo,Lavoratore/Lavoratrice,Emilia Romagna,Titolo universitario o superiore
2001,Donna,Studente,Emilia Romagna,Diploma di scuola superiore
2001,Donna,Studente lavoratore,Emilia Romagna,Titolo universitario o superiore
2000,Uomo,Studente lavoratore,Emilia Romagna,Diploma di scuola superiore
2000,Uomo,Studente,Emilia Romagna,Titolo universitario o superiore
2001,Uomo,Studente,Emilia Romagna,Diploma di scuola superiore
2000,Uomo,Studente,Emilia Romagna,Diploma di scuola superiore
2000,Preferisco non rispondere,Lavoratore/Lavoratrice,Emilia Romagna,Preferisco non rispondere
2001,Uomo,Studente lavoratore,Emilia Romagna,Diploma di scuola superiore
1961,Uomo,Lavoratore/Lavoratrice,Emilia Romagna,Titolo universitario o superiore
2002,Donna,Studente,Emilia Romagna,Diploma di scuola superiore
2000,Donna,Studente,Lazio,Titolo universitario o superiore
1974,Donna,Lavoratore/Lavoratrice,Emilia Romagna,Diploma di scuola superiore
1981,Donna,Lavoratore/Lavoratrice,Emilia Romagna,Diploma di scuola superiore
1969,Donna,Lavoratore/Lavoratrice,Emilia Romagna,Titolo universitario o superiore
1999,Donna,Studente lavoratore,Emilia Romagna,Diploma di scuola superiore
2005,Uomo,Studente,Lombardia,Diploma di scuola elementare o scuola media
1988,Donna,Disoccupato/a (in cerca di impiego),Puglia,Titolo universitario o superiore